label,sentence;
politics, российск государ референдум государ депутат государ российск дальн  субъект государ государ референдум 
politics,кандидат выбор праймериз выбор кандидат праймериз выбор президент депутат выбор кандидат избирательн кандидат депутат    праймериз депутат кандидат депутат праймериз выбор праймериз праймериз выбор депутат актер кандидат праймериз кандидат избирательн  парт депутат парт политическ парт парт   ресурс избирательн праймериз избирательн кандидат парт выбор
politics,президентск выбор  избирательн  выбор избирательн ракет  выбор сил  выбор
politics,митинг  здан украинск депутат    протест нато
politics,министр  министр выбор министр  уголовн  министр  министр  министр  министр
politics,     президент  президентск  картин президент президент министр президент  выставк президент государ  президент художник  президент картин
politics,президентск выбор    выбор избирательн выбор  выбор мвд избирательн  избирательн показател  выбор  президент государ  президентск министр министр  побед выбор кандидат тур
politics,  министр министр  министр министр выбор парт  министр  министр побед парт сил парт
politics,донецк референдум регион донецк митинг  донецк референдум депутат здан митинг  милиц донецк украин донецк  митинг флаг флаг украин театр происшеств  здан российск  украин украин украин строитель украин подчеркнул
politics,президент президент программ президент украин  президент президент президент президент президент президент украин  украин 
politics,ракет  министр министр  министр      произошл ракет ракет ракет    команд ракет
politics,выбор президент переворот  выбор кандидат президент парт кандидат государ  избирательн тур президентск выбор кандидат  переворот президентск выбор министр кандидат президент парт президент  переворот команд  переворот парт президентск
politics,министр подчеркнул произошл  политическ парт дом выбор
politics,мвд украин донецк росси команд донецк здан депутат референдум  президент протест донецк  донецк здан протест  министр мвд  подчеркнул донецк
politics,     программ президент    сотрудник президент  сотрудник    организац долг долг
politics,президентск выбор государ министр избирательн избирательн мансур выбор президент мансур президентск программ побед мансур росси государ государ мансур выбор президентск выбор парт 2 мансур
politics,украинск президент украин      месяц 
politics,росси  росси встреч  российск российск встреч  встреч регион российск
politics,расмуссен экономическ политическ  генсек нато росси украинск  нато расмуссен экономическ политическ  нато росси политическ расмуссен политическ
politics,организац расмуссен генсек украин нато  расмуссен нато нато росси росси политическ  генсек  российск украинск генсек незаконн украинск  российск нато украин украин    нато нато организац нато  генсек российск расмуссен государ выбор нато государ  расмуссен политическ росси нато  украин расмуссен украин нато    российск нато украин киев нато генсек украин украин министр нато выбор украин нато  расмуссен генсек российск украин государ украин российск  расмуссен генсек  украин украин украин  расмуссен украинск    российск расмуссен нато генсек российск    генсек крым расмуссен нато сил  российск украинск нато украинск нато    расмуссен российск нато незаконн генсек крым    генсек  росси  
politics,     президент министр  министр министр  политическ экономическ  президентск    президентск выбор тур государ
politics,переворот президент      сил
politics,президент президент министр парт парт  парт  министр  парт министр  министр государ министр  президент
politics,украин      украин организац  российск город  гол российск украин 2 произошл российск  украин  украин сотрудник российск аэропорт донецк украин сотрудник  аэропорт донецк
politics,государ    политическ представлен сил  политическ политическ  политическ парт  организац
politics,киев встреч украин  украинск  славянск  министр украин славянск
politics,украин министр культур украин украинск украин украинск украин киев украин  культур украин золот
politics,русск украин донецк  министр украин  команд здан
politics,  смартфон смартфон    компан  пользовател  программ пользовател    
politics,выбор избирательн выбор выбор депутат  выбор русск
politics,президент министр президентск выбор министр переворот кандидат избирательн президент государ протест президентск
politics,росси украин    космическ сотрудник российск  росси украин сотрудник  поезд росси российск электронн космическ  сотрудник
politics,  министр министр  министр twitter  министр министр министр министр  министр министр культур министр министр министр
politics,   кандидат выбор кандидат выбор тур парт город  выбор город выбор  парт  парт  сравнени выбор город тур город парт политическ  президент президент  выбор избирательн  парт город    парт выбор президентск выбор  выбор выбор выбор парт кандидат  выбор кандидат политическ  министр кандидат побед долг парт    выбор фонд парт выбор  парт политическ счет парт фонд  фонд политическ парт  счет
politics, здан милиц город донецк российск российск  украин нато российск украин киев  украин украин украинск встреч президент украин президент киев президент украин украинск президент украин  мвд украин милиц город донецк милиц российск сил милиц славянск милиц здан  украин район милиц славянск  славянск славянск славянск здан милиц город город город  донецк донецк здан славянск министр украин здан здан милиц мвд украин донецк милиц здан российск министр украин донецк флаг протест донецк славянск протест донецк протест донецк здан донецк донецк славянск протест здан референдум украин российск сил министр украин донецк протест протест город
politics,экономическ  экономическ экономическ   
politics,референдум город избирательн выбор министр референдум   референдум росси субъект российск крым киев украин  референдум
politics,     президент взрыв государ  взрыв устрой  президент сил президент президент        президент
politics,команд ракет  флаг сил флаг сил  команд ракет министр    встреч  ракет ракет ракет  
politics,украин  здан украинск референдум  протест
politics,  министр министр министр город город город месяц церемон оборудован команд 2 русск русск район русск русск
politics,   электронн          российск    российск  
politics, президент  церемон церемон  президент  президент государ министр министр 2  регион выбор министр регион  финал президентск кандидат президент  политическ президент  государ организац  министр  президент министр  произошл парт  побед президентск  газ министр  президент выбор министр мвд  политическ выбор  выбор организац парт  президентск выбор  политическ выбор побед президентск президентск
politics,twitter     2 доступ доступ интерн ресурс  twitter twitter  доступ интерн ресурс  выбор доступ twitter  побед парт парт
politics,полиц     2 полиц задержан организац референдум    уголовн незаконн  флаг
politics,украин министр  украинск  украин доступ министр украин  экономическ украин газ экономическ  млрд  министр встреч
accidents,крым город  город незаконн  
accidents, сотрудник полиц мужчин полиц задержан сотрудник 
accidents,интерн город  уголовн возбужден
accidents, полиц сотрудник сотрудник  сотрудник молод 2  задержан украин район молод  возбужден уголовн 
accidents, пожар мчс пожар  пожар
accidents,произошл     возбужден уголовн незаконн перевозк устрой молод происшеств автомобил
accidents, мужчин    машин    аэропорт    истори произошл 
accidents,произошл дтп погиб  район автомобил  возбужден уголовн  водит происшеств  водител район
accidents,автомобил район город полиц  взрыв город  полиц автомобил район город полиц    взрыв город  кандидат
accidents,полиц автомобил mercedes водит  автомобил машин водит  происшеств водител 2 водител уголовн
accidents,пожар район    взрыв автомобил  мчс пожар  пожар
accidents,мужчин автомобил    мужчин автомобил  происшеств  возбужден уголовн
accidents, район водит автомобил встреч город мвд регион произошл автобус дтп водит автомобил город автомобил
accidents,    произошл произошл    мчс  гол  район
accidents,водител  дтп машин  произошл район  водит автомобил водител  дтп машин водит
accidents,пожар  пожар мчс мужчин пожар здан единиц сотрудник
accidents,погиб взрыв произошл  погиб устрой город устрой автомобил 
accidents,  мвд  аэропорт       взрыв  организац    интерн
accidents,незаконн мвд  жил незаконн происшеств мвд задержан  незаконн мужчин  возбужден уголовн полиц
accidents,поезд город    произошл происшеств  происшеств  поезд автобус 
accidents,город пушкинск дом пожар
accidents,автобус  автобус автобус  гибдд здан происшеств  автобус  
accidents,росси
accidents,  свердловск  молод  компан    
accidents,задержан погиб сотрудник полиц  город полиц  сотрудник мвд  уголовн сотрудник полиц  город автомобил водит машин дтп сотрудник гибдд погиб  мужчин сотрудник незаконн мужчин
accidents,мвд район мвд район полиц мвд задержан район полиц задержан 
accidents,произошл  район  мчс
accidents,  произошл      дом  
accidents,взрыв  взрыв  взрыв  возбужден уголовн
accidents,незаконн мвд  район задержан грамм  район задержан грамм  2 2 район грамм  дтп мужчин полиц грамм грамм  мужчин грамм  возбужден уголовн
accidents,погиб     произошл  погиб происшеств    аппарат компан
accidents,район  произошл    район
society,  президент  президент      
society,мужчин пожар город  город  город город  президент сил полиц морск город  город город  пожар город город
society,      регион  
society,  доступ  чемпион
society,район город  программ район здан  программ строитель здан район здан долг  район  мод район  район район 2  строитель продаж  район    мод подчеркнул    район  район строитель  
society,программ    программ протест
society, компан  
society,город  полиц  произошл  организац район происшеств  
society, здан   взрыв город twitter    сил президент
society,украинск флаг флаг флаг украин город здан украинск российск референдум
society,титул чемпион организац  побед счет побед  побед побед  
society,      
society,сотрудник  сотрудник здан  сотрудник погиб город  здан сотрудник
society,чемпионат street генсек организац  парт российск команд росси    росси политическ украин  парт президент российск чемпионат росси
society,светофор город устройств  парт светофор     светофор город светофор светофор светофор мужчин  мужчин
society,  российск  российск российск компан  русск  счет российск    российск
society,славянск  славянск культур город славянск  российск  творческ русск русск украинск украинск 
society,  машин происшеств автомобил машин      государ    российск мвд мчс уголовн  молод сотрудник милиц происшеств район  полиц  полиц  мвд  происшеств  пользовател организац организац  организац город  государ организац  счет полиц    государ  истори город город полиц  город город  счет полиц ресурс  программ полиц полиц автомобил  полиц google автомобил организац днк программ      машин автомобил машин      российск депутат депутат       полиц  ресурс полиц государ
society,2  электронн    аэропорт
society,  министр украин  
society,аэропорт город российск  аэропорт происшеств  
society,здан украинск протест здан милиц здан славянск славянск милиц украин мвд митинг мвд украин протест славянск украинск город донецк здан милиц счет
society,    президент встреч  
society,  сотрудник  twitter  компан министр
society,район месяц  район  район  район район
society,крым    поезд автобус автобус автобус    
society,морск        учен  
society,чемпион  
society,донецк здан митинг милиц     здан здан здан донецк донецк донецк  украин  здан донецк  митинг донецк российск    украинск регион  донецк здан здан российск митинг донецк уголовн месяц задержан донецк донецк украин донецк донецк  политическ депутат политическ
society,  2  
society, аэропорт  аэропорт аэропорт просил политическ аэропорт аэропорт
society,церемон президент  президент  строитель миллиард поезд произведен оборудован  министр месяц парт выбор
society,        крым украинск   украин    украин команд сил   
society,  встреч месяц    российск  электронн  2  росси российск
society,  город истори    
society,взрыв   город взрыв  
society,украинск славянск протест донецк донецк славянск славянск  здан референдум регион донецк киев протест район    донецк город
society,город здан происшеств здан
society,месяц   российск газ министр организац       
society,произошл          
society,митинг истори протест референдум  экономическ  долг  долг       парт парт  миллиард    экономическ сил     экономическ  побед  выбор побед референдум министр    протест депутат референдум     протест парт здани  традиц  депутат
